mz,intensity
270.62,0
270.65,0
270.67,0
270.68,0
270.7,0
270.73,0
270.75,0
270.77,0
270.789,0
270.799,0
270.81,0
270.83,0
270.849,0
270.89,0
270.9,0
270.909,0
270.95,0
270.969,0
270.99,0
271.01,0
271.02,0
271.03,0
271.06,0
271.09,0
271.11,0
271.12,0
271.15,0
271.159,0
271.17,0
271.21,0
271.219,0
271.25,0
271.26,0
271.27,0
271.299,0
271.33,0
271.34,0
271.37,0
271.38,0
271.4,0
271.409,0
271.43,0
271.469,0
271.479,0
271.51,0
271.52,0
271.539,0
271.57,0
271.58,0
271.59,0
271.62,0
271.64,0
271.659,0
271.69,0
271.71,0
271.73,0
271.75,0
271.76,0
271.789,0
271.81,0
271.82,0
271.849,0
271.87,0
271.88,0
271.89,0
271.93,0
271.94,0
271.95,0
271.99,0
272,0
272.01,0
272.03,0
272.07,0
272.09,1.99900875598877
272.099,0
272.11,0
272.15,0
272.159,0
272.17,0
272.21,0
272.219,0
272.23,0
272.27,0
272.28,0
272.31,0
272.32,0
272.349,0
272.37,0
272.38,0
272.39,0
272.419,0
272.44,0
272.45,0
272.469,0
272.51,0
272.53,0
272.539,0
272.57,0
272.58,0
272.599,0
272.63,0
272.64,0
272.659,0
272.67,0
272.69,0
272.73,0
272.75,0
272.77,0
272.789,0
272.799,0
272.83,0
272.84,0
272.849,0
272.87,0
272.9,0
272.93,0
272.95,0
272.96,0
272.969,0
273,0
273.03,0
273.039,0
273.05,0
273.09,0
273.099,0
273.11,0
273.13,0
273.159,0
273.17,0
273.19,0
273.21,0
273.23,0
273.25,0
273.28,0
273.31,0
273.32,0
273.349,0
273.359,0
273.38,0
273.39,0
273.43,0
273.45,0
273.46,0
273.49,0
273.5,0
273.53,0
273.55,0
273.56,0
273.59,0
273.599,0
273.62,0
273.64,0
273.65,0
273.68,0
273.69,0
273.73,0
273.74,0
273.76,0
273.77,0
273.81,0
273.82,0
273.849,0
273.87,0
273.88,0
273.89,0
273.93,0
273.94,0
273.95,0
273.99,0
274.01,0
274.02,0
274.05,0
274.07,0
274.08,0
274.11,0
274.12,0
274.13,0
274.159,0
274.17,0
274.19,0
274.23,0
274.24,0
274.27,0
274.28,0
274.299,0
274.31,0
274.33,0
274.359,0
274.39,0
274.4,0
274.409,0
274.45,0
274.46,0
274.49,0
274.5,0
274.51,0
274.55,0
274.56,0
274.58,0
274.599,0
274.63,0
274.65,0
274.659,0
274.69,0
274.71,0
274.73,0
274.74,0
274.75,0
274.789,0
274.81,0
274.83,0
274.84,0
274.87,0
274.88,0
274.89,0
274.93,0
274.94,0
274.969,0
274.979,0
275.01,0
275.03,0
275.05,0
275.06,0
275.08,0
275.09,0
275.11,0
275.13,0
275.15,0
275.17,0
275.19,0
275.21,0
275.24,0
275.27,0
275.289,0
275.299,0
275.33,0
275.349,0
275.359,0
275.39,0
275.4,0
275.43,0
275.45,0
275.46,0
275.479,0
275.49,0
275.53,0
275.539,0
275.55,0
275.59,0
275.61,0
275.62,0
275.65,0
275.67,0
275.68,0
275.71,0
275.719,0
275.73,0
275.77,0
275.789,0
275.799,0
275.83,0
275.84,0
275.87,0
275.88,0
275.89,0
275.93,0
275.94,0
275.969,0
275.979,0
275.99,0
276.03,0
276.05,0
276.06,0
276.09,0
276.099,0
276.11,0
276.13,0
276.17,0
276.18,0
276.2,0
276.21,0
276.24,0
276.26,0
276.27,0
276.31,0
276.33,0
276.34,0
276.37,0
276.38,0
276.39,0
276.43,0
276.44,0
276.46,0
276.49,0
276.5,0
276.53,0
276.539,0
276.56,0
276.59,0
276.599,0
276.63,0
276.64,0
276.67,0
276.69,0
276.71,0
276.719,0
276.75,0
276.76,0
276.77,0
276.81,0
276.83,0
276.849,0
276.859,0
276.87,0
276.89,0
276.909,0
276.95,0
276.96,0
276.979,0
276.99,0
277.03,0
277.05,0
277.07,0
277.08,0
277.09,0
277.11,0
277.14,0
277.15,0
277.17,0
277.21,0
277.219,0
277.23,0
277.25,0
277.289,0
277.299,0
277.32,0
277.33,0
277.359,0
277.37,0
277.409,0
277.419,0
277.44,0
277.469,0
277.479,0
277.49,0
277.53,0
277.55,0
277.56,0
277.57,0
277.61,0
277.62,0
277.64,0
277.65,0
277.69,0
277.7,0
277.73,0
277.75,0
277.77,0
277.78,0
277.789,0
277.83,0
277.84,0
277.87,0
277.89,0
277.9,0
277.93,0
277.94,0
277.969,0
277.979,0
277.99,0
278.03,0
278.05,0
278.07,0
278.09,0
278.099,0
278.11,0
278.13,0
278.15,0
278.17,0
278.19,0
278.219,0
278.23,0
278.27,0
278.289,0
278.299,0
278.33,0
278.34,0
278.359,0
278.37,0
278.4,0
278.43,0
278.44,0
278.45,0
278.49,0
278.5,0
278.53,0
278.539,0
278.55,0
278.57,0
278.61,0
278.62,0
278.63,0
278.65,0
278.69,0
278.71,0
278.73,0
278.75,0
278.76,0
278.789,0
278.799,0
278.83,0
278.849,0
278.859,0
278.87,0
278.89,0
278.93,0
278.95,0
278.969,0
278.979,0
279.01,0
279.03,0
279.039,0
279.07,0
279.08,0
279.09,0
279.11,0
279.15,0
279.159,0
279.17,0
279.21,0
279.23,0
279.24,2.57723442920866
279.25,0
279.27,0
279.289,0
279.33,0
279.349,0
279.359,0
279.39,0
279.409,0
279.419,0
279.43,0
279.469,0
279.49,0
279.5,0
279.53,0
279.539,0
279.56,0
279.59,0
279.61,0
279.62,0
279.63,0
279.67,0
279.68,0
279.69,0
279.71,0
279.75,0
279.77,0
279.78,0
279.799,0
279.81,0
279.83,0
279.87,0
279.89,0
279.9,0
279.93,0
279.94,0
279.95,0
279.979,0
280.01,0
280.02,0
280.03,0
280.07,0
280.09,0
280.099,0
280.11,0
280.13,0
280.15,0
280.17,0
280.19,0
280.23,0
280.24,0
280.25,0
280.27,0
280.289,0
280.33,0
280.34,0
280.37,0
280.38,0
280.39,0
280.409,0
280.45,0
280.46,0
280.49,0
280.5,0
280.53,0
280.539,0
280.56,0
280.59,0
280.61,0
280.62,0
280.63,0
280.659,0
280.69,0
280.71,0
280.73,0
280.75,0
280.76,0
280.789,0
280.799,0
280.81,0
280.83,0
280.859,0
280.87,0
280.909,0
280.93,0
280.95,0
280.96,0
280.99,0
281,0
281.03,0
281.05,0
281.06,0
281.09,0
281.11,0
281.12,0
281.13,0
281.159,0
281.17,0
281.21,0
281.23,0
281.24,0
281.25,36.4116966793326
281.27,0
281.289,0
281.31,0
281.33,0
281.37,0
281.38,0
281.39,0
281.409,0
281.45,0
281.46,0
281.469,0
281.49,0
281.53,0
281.55,0
281.56,0
281.59,0
281.599,0
281.63,0
281.65,0
281.659,0
281.69,0
281.71,0
281.73,0
281.74,0
281.75,0
281.789,0
281.799,0
281.82,0
281.84,0
281.87,0
281.88,0
281.909,0
281.93,0
281.94,0
281.969,0
281.979,0
282.01,0
282.03,0
282.039,0
282.05,0
282.09,0
282.11,0
282.12,0
282.13,0
282.15,0
282.17,0
282.19,0
282.23,0
282.25,0
282.26,6.7239385428713
282.27,0
282.289,0
282.31,0
282.33,0
282.349,0
282.39,0
282.4,0
282.419,0
282.43,0
282.469,0
282.479,0
282.49,0
282.53,0
282.55,0
282.57,0
282.58,0
282.59,0
282.62,0
282.63,0
282.67,0
282.69,0
282.71,0
282.73,0
282.74,0
282.77,0
282.789,0
282.799,0
282.81,0
282.83,0
282.859,0
282.87,0
282.909,0
282.93,0
282.94,0
282.969,0
282.99,0
283.01,0
283.03,0
283.05,0
283.07,0
283.08,0
283.11,0
283.12,0
283.13,0
283.15,0
283.18,0
283.19,0
283.23,0
283.25,6.34396167189823
283.27,29.0434495291591
283.289,0
283.299,0
283.31,0
283.33,0
283.349,0
283.39,0
283.4,0
283.43,0
283.45,0
283.46,0
283.469,0
283.51,0
283.52,0
283.53,0
283.57,0
283.59,0
283.599,0
283.61,0
283.65,0
283.659,0
283.67,0
283.69,0
283.73,0
283.74,0
283.75,0
283.789,0
283.799,0
283.82,0
283.849,0
283.859,0
283.89,0
283.909,0
283.919,0
283.95,0
283.96,0
283.99,0
284,0
284.03,0
284.05,0
284.06,0
284.09,0
284.11,0
284.13,0
284.14,0
284.15,0
284.17,0
284.19,0
284.23,0
284.25,1.81728068726251
284.26,0
284.27,6.83958367751528
284.289,0
284.31,0
284.33,0
284.349,0
284.38,0
284.409,0
284.419,0
284.45,0
284.469,0
284.479,0
284.51,0
284.53,0
284.539,0
284.55,0
284.59,0
284.599,0
284.61,0
284.65,0
284.659,0
284.69,0
284.71,0
284.73,0
284.74,0
284.77,0
284.78,0
284.789,0
284.81,0
284.83,0
284.87,0
284.89,0
284.9,0
284.93,0
284.94,0
284.969,0
284.99,0
285.01,0
285.03,0
285.039,0
285.07,0
285.08,1.3051379481249
285.09,0
285.12,0
285.13,0
285.159,0
285.19,0
285.2,0
285.21,0
285.25,0
285.27,0
285.28,0
285.289,0
285.31,0
285.33,0
285.349,0
285.39,0
285.4,0
285.409,0
285.44,0
285.469,0
285.479,0
285.49,0
285.52,0
285.53,0
285.56,0
285.58,0
285.61,0
285.62,0
285.63,0
285.67,0
285.69,0
285.71,0
285.73,0
285.74,0
285.76,0
285.789,0
285.799,0
285.82,0
285.849,0
285.87,0
285.89,0
285.9,0
285.93,0
285.94,0
285.95,0
285.99,0
286,0
286.03,0
286.05,0
286.07,0
286.08,0
286.09,0
286.11,0
286.15,0
286.159,0
286.17,0
286.19,0
286.23,0
286.25,0
286.27,0
286.28,0
286.289,0
286.32,0
286.34,0
286.349,0
286.38,0
286.39,0
286.419,0
286.45,0
286.46,0
286.49,0
286.5,0
286.52,0
286.53,0
286.56,0
286.58,0
286.59,0
286.62,0
286.64,0
286.67,0
286.68,0
286.71,0
286.719,0
286.75,0
286.77,0
286.789,0
286.799,0
286.81,0
286.83,0
286.859,0
286.89,0
286.909,0
286.93,0
286.94,0
286.969,0
286.979,0
286.99,0
287.01,0
287.05,0
287.07,0
287.08,0
287.09,0
287.11,0
287.14,0
287.15,0
287.17,0
287.21,0
287.219,0
287.23,0
287.27,0
287.289,0
287.299,0
287.31,0
287.33,0
287.349,0
287.39,0
287.4,0
287.409,0
287.45,0
287.46,0
287.469,0
287.51,0
287.52,0
287.55,0
287.56,0
287.57,0
287.61,0
287.62,0
287.63,0
287.65,0
287.69,0
287.7,0
287.71,0
287.75,0
287.76,0
287.77,0
287.81,0
287.82,0
287.849,0
287.859,0
287.87,0
287.909,0
287.93,0
287.94,0
287.969,0
287.979,0
287.99,0
288.03,0
288.05,0
288.07,0
288.08,0
288.09,0
288.11,0
288.13,0
288.17,0
288.18,0
288.2,0
288.21,0
288.23,0
288.27,0
288.289,0
288.299,3.13893936890798
288.31,0
288.33,0
288.349,0
288.37,0
288.409,0
288.419,0
288.45,0
288.46,0
288.469,0
288.51,0
288.53,0
288.539,0
288.56,0
288.59,0
288.599,0
288.63,0
288.64,0
288.65,0
288.69,0
288.71,0
288.719,0
288.73,0
288.77,0
288.789,0
288.799,0
288.81,0
288.83,0
288.87,0
288.89,0
288.909,0
288.919,0
288.93,0
288.969,0
288.979,0
288.99,0
289.03,0
289.05,0
289.07,0
289.08,0
289.09,0
289.11,0
289.13,0
289.17,0
289.18,0
289.19,0
289.219,0
289.23,0
289.27,0
289.289,0
289.299,0
289.31,0
289.33,0
289.349,0
289.37,0
289.409,0
289.419,0
289.43,0
289.469,0
289.479,0
289.5,0
289.53,0
289.539,0
289.57,0
289.58,0
289.61,0
289.62,0
289.64,0
289.659,0
289.67,0
289.69,0
289.73,0
289.74,0
289.75,0
289.789,0
289.799,0
289.81,0
289.83,0
289.87,0
289.89,0
289.909,0
289.93,0
289.95,0
289.969,0
289.979,0
290,0
290.03,0
290.05,0
290.07,0
290.09,5.48488352882868
290.099,0
290.11,0
290.13,0
290.15,0
290.17,0
290.2,0
290.21,0
290.25,0
290.26,0
290.289,0
290.299,0
290.31,0
290.33,0
290.349,0
290.39,0
290.4,0
290.43,0
290.44,0
290.45,0
290.479,0
290.51,0
290.52,0
290.539,0
290.55,0
290.58,0
290.59,0
290.63,0
290.65,0
290.67,0
290.68,0
290.71,0
290.73,0
290.74,0
290.75,0
290.789,0
290.799,0
290.81,0
290.83,0
290.849,0
290.88,0
290.909,0
290.93,0
290.94,0
290.969,0
290.979,0
290.99,0
291.03,0
291.05,0
291.07,0
291.09,0
291.099,0
291.11,0
291.13,0
291.15,0
291.17,0
291.19,0
291.21,0
291.24,0
291.27,0
291.289,0
291.299,0
291.31,0
291.349,0
291.359,0
291.37,0
291.409,0
291.419,0
291.43,0
291.46,0
291.49,0
291.51,0
291.52,0
291.55,0
291.56,0
291.58,0
291.599,0
291.62,0
291.65,0
291.659,0
291.69,0
291.71,0
291.719,0
291.75,0
291.77,0
291.78,0
291.789,0
291.83,0
291.84,0
291.87,0
291.88,0
291.909,0
291.93,0
291.95,0
291.96,0
291.969,0
292.01,0
292.03,0
292.05,0
292.07,0
292.09,0
292.099,0
292.11,0
292.13,0
292.15,0
292.17,0
292.19,0
292.219,0
292.24,0
292.25,0
292.27,0
292.289,0
292.33,0
292.34,0
292.37,0
292.38,0
292.409,0
292.419,0
292.43,0
292.469,0
292.479,0
292.51,0
292.53,0
292.539,0
292.56,0
292.59,0
292.599,0
292.61,0
292.64,0
292.65,0
292.68,0
292.71,0
292.73,0
292.75,0
292.76,0
292.789,0
292.81,0
292.82,0
292.83,0
292.849,0
292.89,0
292.9,0
292.909,0
292.93,0
292.95,0
292.99,0
293,0
293.03,0
293.039,0
293.07,0
293.09,0
293.11,0
293.12,0
293.13,0
293.17,0
293.18,0
293.19,0
293.21,0
293.25,0
293.26,0
293.27,0
293.299,0
293.31,0
293.33,0
293.37,0
293.38,0
293.409,0
293.43,0
293.44,0
293.469,0
293.479,0
293.5,0
293.51,0
293.55,0
293.56,0
293.59,0
293.599,0
293.63,0
293.64,0
293.67,0
293.69,0
293.7,0
293.73,0
293.75,0
293.76,0
293.789,0
293.799,0
293.81,0
293.83,0
293.859,0
293.89,0
293.9,0
293.909,0
293.93,0
293.969,0
293.99,0
294,0
294.03,0
294.05,0
294.07,0
294.08,0
294.11,0
294.12,0
294.13,0
294.15,0
294.18,0
294.19,0
294.21,0
294.23,0
294.27,0
294.28,0
294.289,0
294.33,0
294.34,0
294.37,0
294.39,0
294.4,0
294.419,0
294.45,0
294.46,0
294.49,0
294.5,0
294.53,0
294.539,0
294.56,0
294.58,0
294.59,0
294.63,0
294.64,0
294.65,0
294.67,0
294.71,0
294.73,0
294.75,0
294.76,0
294.789,0
294.81,0
294.82,0
294.83,0
294.87,0
294.89,0
294.9,0
294.909,0
294.95,0
294.969,0
294.979,0
294.99,0
295.03,0
295.05,0
295.07,0
295.09,0
295.11,0
295.13,0
295.14,0
295.15,0
295.18,0
295.19,0
295.23,0
295.25,0
295.27,0
295.28,0
295.289,0
295.31,0
295.34,0
295.359,0
295.37,0
295.4,0
295.43,0
295.44,0
295.45,0
295.479,0
295.51,0
295.52,0
295.53,0
295.56,0
295.59,0
295.599,0
295.61,0
295.65,0
295.659,0
295.67,0
295.7,0
295.73,0
295.75,0
295.76,0
295.77,0
295.799,0
295.83,0
295.849,0
295.87,0
295.89,0
295.9,0
295.909,0
295.93,0
295.969,0
295.99,0
296,0
296.03,0
296.05,0
296.07,0
296.09,0
296.11,0
296.13,0
296.14,0
296.15,0
296.17,0
296.2,0
296.21,0
296.23,0
296.27,0
296.28,0
296.289,0
296.32,0
296.349,0
296.37,0
296.39,0
296.4,0
296.419,0
296.45,0
296.46,0
296.469,0
296.51,0
296.52,0
296.539,0
296.55,0
296.58,0
296.59,0
296.61,0
296.64,0
296.65,0
296.68,0
296.71,0
296.73,0
296.74,0
296.75,0
296.77,0
296.81,0
296.82,0
296.83,0
296.849,0
296.88,0
296.89,0
296.919,0
296.95,0
296.96,0
296.969,0
296.99,0
297.03,0
297.039,0
297.05,0
297.09,0
297.11,0
297.13,0
297.15,0
297.159,0
297.17,0
297.19,0
297.23,0
297.24,0
297.25,0
297.28,0
297.289,0
297.33,0
297.34,0
297.37,0
297.38,0
297.39,0
297.43,0
297.45,0
297.46,0
297.469,0
297.5,0
297.53,0
297.539,0
297.56,0
297.59,0
297.599,0
297.63,0
297.64,0
297.67,0
297.68,0
297.69,0
297.73,0
297.74,0
297.75,0
297.78,0
297.81,0
297.83,0
297.84,0
297.87,0
297.89,0
297.9,0
297.909,0
297.95,0
297.969,0
297.979,0
298.01,0
298.03,0
298.039,0
298.07,0
298.08,0
298.09,0
298.13,0
298.15,0
298.159,0
298.17,0
298.19,0
298.21,0
298.25,0
298.27,0
298.28,0
298.289,0
298.31,0
298.34,0
298.349,0
298.39,0
298.4,0
298.419,0
298.45,0
298.46,0
298.469,0
298.5,0
298.52,0
298.53,0
298.56,0
298.58,0
298.61,0
298.62,0
298.65,0
298.659,0
298.67,0
298.71,0
298.73,0
298.74,0
298.75,0
298.77,0
298.81,0
298.83,0
298.84,0
298.87,0
298.88,0
298.89,0
298.909,0
298.95,0
298.969,0
298.979,0
298.99,0
299.03,0
299.05,0
299.06,4.93969932264993
299.07,0
299.09,0
299.11,0
299.14,0
299.15,0
299.17,0
299.21,0
299.219,0
299.25,0
299.26,0
299.27,0
299.289,0
299.32,0
299.33,0
299.37,0
299.38,0
299.409,0
299.419,0
299.44,0
299.46,0
299.49,0
299.5,0
299.53,0
299.55,0
299.56,0
299.57,0
299.61,0
299.62,0
299.63,0
299.65,0
299.69,0
299.71,0
299.73,0
299.74,0
299.76,0
299.78,0
299.81,0
299.83,0
299.84,0
299.87,0
299.88,0
299.89,0
299.93,0
299.95,0
299.969,0
299.979,0
299.99,0
300.03,0
300.05,0
300.06,0
300.09,0
300.099,0
300.11,0
300.13,0
300.17,0
300.18,0
300.21,0
300.219,0
300.23,0
300.25,0
300.28,0
300.289,0
300.32,0
300.349,0
300.359,0
300.39,0
300.4,0
300.409,0
300.45,0
300.46,0
300.49,0
300.5,0
300.53,0
300.539,0
300.57,0
300.58,0
300.61,0
300.62,0
300.65,0
300.659,0
300.69,0
300.71,0
300.73,0
300.75,0
300.76,0
300.77,0
300.789,0
300.83,0
300.849,0
300.859,0
300.87,0
300.89,0
300.93,0
300.95,0
300.969,0
300.979,0
300.99,0
301.03,0
301.039,0
301.05,0
301.07,0
301.11,0
301.12,0
301.13,0
301.159,0
301.17,0
301.21,0
301.219,0
301.23,0
301.25,0
301.289,0
301.31,0
301.32,0
301.34,0
301.349,0
301.39,0
301.409,0
301.419,0
301.45,0
301.469,0
301.479,0
301.5,0
301.53,0
301.539,0
301.56,0
301.59,0
301.599,0
301.63,0
301.64,0
301.67,0
301.68,0
301.71,0
301.719,0
301.74,0
301.77,0
301.78,0
301.81,0
301.82,0
301.849,0
301.87,0
301.88,0
301.909,0
301.919,0
301.93,0
301.969,0
301.99,0
302,0
302.03,0
302.05,0
302.06,0
302.07,0
302.099,0
302.11,0
302.13,0
302.15,0
302.17,0
302.21,0
302.219,0
302.23,0
302.27,0
302.28,0
302.31,0
302.32,0
302.33,0
302.359,0
302.38,0
302.409,0
302.419,0
302.44,0
302.469,0
302.479,0
302.51,0
302.53,0
302.539,0
302.57,0
302.59,0
302.61,0
302.62,0
302.63,0
302.67,0
302.69,0
302.71,0
302.73,0
302.74,0
302.75,0
302.77,0
302.789,0
302.82,0
302.849,0
302.859,0
302.87,0
302.9,0
302.93,0
302.95,0
302.969,0
302.979,0
302.99,0
303.03,0
303.039,0
303.05,0
303.09,0
303.099,0
303.13,0
303.14,0
303.15,0
303.17,0
303.21,0
303.23,0
303.24,19.4118618866678
303.26,0
303.27,0
303.289,0
303.31,0
303.349,0
303.359,0
303.37,0
303.39,0
303.43,0
303.45,0
303.46,0
303.469,0
303.51,0
303.53,0
303.539,0
303.56,0
303.59,0
303.61,0
303.63,0
303.64,0
303.67,0
303.69,0
303.7,0
303.73,0
303.74,0
303.77,0
303.78,0
303.789,0
303.82,0
303.849,0
303.859,0
303.89,0
303.909,0
303.919,0
303.93,0
303.969,0
303.99,0
304.01,0
304.03,0
304.05,0
304.06,0
304.07,0
304.09,0
304.11,0
304.13,0
304.15,0
304.17,0
304.21,0
304.23,0
304.24,6.11267140261028
304.25,0
304.27,0
304.289,0
304.31,0
304.349,0
304.359,0
304.37,0
304.39,0
304.43,0
304.44,0
304.469,0
304.479,0
304.5,0
304.53,0
304.539,0
304.56,0
304.58,0
304.61,0
304.62,0
304.63,0
304.659,0
304.67,0
304.71,0
304.719,0
304.73,0
304.77,0
304.78,0
304.789,0
304.81,0
304.849,0
304.859,0
304.89,0
304.909,0
304.93,0
304.95,0
304.96,0
304.99,0
305.01,0
305.02,0
305.05,0
305.06,0
305.09,0
305.099,0
305.11,0
305.13,0
305.15,0
305.17,0
305.21,0
305.23,0
305.25,0
305.26,0
305.27,0
305.289,0
305.31,0
305.33,0
305.37,0
305.38,0
305.4,0
305.43,0
305.44,0
305.469,0
305.479,0
305.51,0
305.52,0
305.55,0
305.56,0
305.59,0
305.599,0
305.62,0
305.64,0
305.67,0
305.68,0
305.69,0
305.73,0
305.74,0
305.77,0
305.78,0
305.799,0
305.83,0
305.84,0
305.849,0
305.88,0
305.909,0
305.93,0
305.94,0
305.96,0
305.969,0
306,0
306.03,0
306.05,0
306.07,0
306.08,8.22732529324302
306.099,0
306.11,0
306.13,0
306.15,0
306.17,0
306.19,0
306.23,0
306.25,0
306.26,0
306.27,0
306.299,0
